Account ID,Account Name,Account Rating,Account Type,Application,Billing City,Billing Country,Billing State/Province,Create in Zendesk,Created By ID,Created Date,Created Updated Flag,Deleted,Industry,Is Demo Center,Last Activity,Last Modified By ID,Last Modified Date,Lead Type,Life Science KeyAccount,Owner ID,Ownership,Parent Account ID,Record Type ID,Shipping City,Shipping Country,Shipping State/Province,System Modstamp,Zendesk OutofSync,Employees
0013100001cSxtRAAS,Ut Nisi Corp.,Other,Other,Explosives;Drugs;All Hazards,Brooklyn,UNITED STATES,NY,FALSE,005i0000006RgPOAA0,11/6/2015,FALSE,FALSE,Telecommunications,FALSE,6/8/2021,00531000007KAsvAAG,5/8/2019,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001cUmsNAAS,Ut Nisi Corp.,Other,Other,Other,Other,UNITED STATES,AL,FALSE,005i0000000fNkyAAE,11/18/2015,FALSE,FALSE,Telecommunications,FALSE,7/24/2018,00531000007MUoEAAW,5/16/2018,Other,FALSE,00531000007MUoEAAW,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001cVUEmAAO,Ut Nisi Corp.,Warm,Other,All Hazards,Winchester,UNITED STATES,KY,FALSE,005i0000000fNkyAAE,11/23/2015,FALSE,FALSE,Telecommunications,FALSE,4/8/2021,00531000007MUoEAAW,4/1/2021,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001dAL4iAAG,Ut Nisi Corp.,Other,Other,CWAs,Cape Canaveral,UNITED STATES,FL,FALSE,005i0000000fNkyAAE,12/15/2015,FALSE,FALSE,Telecommunications,FALSE,5/27/2021,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,00531000007KgPgAAK,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001e9mKLAAY,Ut Nisi Corp.,Other,Partner,CWAs,Other,ISRAEL,.,FALSE,005i0000000fpvQAAQ,1/5/2016,FALSE,FALSE,Telecommunications,FALSE,4/20/2021,00531000008F2qlAAC,6/14/2021,Other,FALSE,00531000008F2qlAAC,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001eB85XAAS,Semper Tellus Limited,Warm,Other,Other,Other,UNITED STATES,CA,FALSE,005i0000006RgPOAA0,1/14/2016,FALSE,FALSE,Transportation,FALSE,7/24/2018,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,005i0000006RgPOAA0,Other,Other,0125A000001NaCJQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001eBxPJAA0,Semper Tellus Limited,Other,Prospect,All Hazards,Montrose,UNITED STATES,NY,FALSE,00531000007KAsvAAG,1/20/2016,FALSE,FALSE,Transportation,FALSE,7/24/2018,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001eCIpHAAW,Semper Tellus Limited,Cold,Customer,All Hazards,New York,UNITED STATES,NY,FALSE,00531000007KAsvAAG,1/22/2016,FALSE,FALSE,Transportation,FALSE,6/21/2021,0055A00000BclF5QAJ,4/16/2021,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,New York,UNITED STATES,NY,6/29/2021,FALSE,0
0013100001eCKcWAAW,Semper Tellus Limited,Warm,Other,All Hazards,Temple Terrace,UNITED STATES,FL,FALSE,005i0000006RgPOAA0,1/22/2016,FALSE,FALSE,Transportation,FALSE,1/28/2016,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001ekHGJAA2,Semper Tellus Limited,Cold,Customer,All Hazards,Largo,UNITED STATES,FL,FALSE,00531000007KAsvAAG,1/25/2016,FALSE,FALSE,Transportation,FALSE,6/8/2021,00531000007MUoEAAW,11/25/2020,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Largo,UNITED STATES,FL,6/29/2021,FALSE,0
0013100001ekS54AAE,Semper Tellus Limited,Other,Other,CWAs,Camp Lejeune,UNITED STATES,NC,FALSE,005i0000000fNkyAAE,1/26/2016,FALSE,FALSE,Transportation,FALSE,6/9/2021,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,00531000007Es7rAAC,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001el29RAAQ,Semper Tellus Limited,Hot,Other,Drugs;CWAs,Annville,UNITED STATES,PA,FALSE,005i0000000fNkyAAE,1/29/2016,FALSE,FALSE,Transportation,FALSE,7/24/2018,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007Es7rAAC,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001el2DiAAI,Semper Tellus Limited,Other,Customer,Explosives;Drugs;CWAs;All Hazards,Des Moines,UNITED STATES,IA,FALSE,005i0000000fNkyAAE,1/29/2016,FALSE,FALSE,Transportation,FALSE,6/9/2021,00531000007MUoEAAW,9/16/2020,Other,FALSE,00531000007Es7rAAC,Other,0015A00001yWmS8QAK,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001elfpsAAA,Semper Tellus Limited,Warm,Other,Drugs;CWAs,Other,UNITED STATES,CA,FALSE,005i0000006RgPOAA0,2/4/2016,FALSE,FALSE,Transportation,FALSE,11/12/2019,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007Es7rAAC,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001eljtBAAQ,Ornare LLC,Other,Customer,All Hazards,Washington,UNITED STATES,DC,FALSE,00531000007KAsvAAG,2/4/2016,FALSE,FALSE,Agriculture,FALSE,6/8/2021,00531000007MUoEAAW,11/25/2020,Other,FALSE,00531000007KAsvAAG,Other,0013100001gYI3JAAW,0125A000001NaCTQA0,Washington,UNITED STATES,DC,6/29/2021,FALSE,0
0013100001elsDjAAI,Scelerisque Corp.,Other,Other,All Hazards,Fleming Island,UNITED STATES,FL,FALSE,005i0000000fpvQAAQ,2/5/2016,FALSE,FALSE,Apparel,FALSE,4/8/2021,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001em9ZOAAY,Scelerisque Corp.,Other,Customer,All Hazards,West Palm Beach,UNITED STATES,FL,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Apparel,FALSE,6/8/2021,0055A00000BclF5QAJ,4/16/2021,0125A000001NaBG,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,West Palm Beach,UNITED STATES,FL,6/29/2021,FALSE,0
0013100001em9bPAAQ,Mauris Ltd,Other,Other,All Hazards,Fort Myers,UNITED STATES,FL,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Banking,FALSE,4/8/2021,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001em9gUAAQ,Mauris Ltd,Cold,Other,All Hazards,Panama City,UNITED STATES,FL,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Banking,FALSE,4/8/2021,00531000007MUoEAAW,1/9/2019,Potential Customer,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001em9suAAA,Mauris Ltd,Cold,Other,Drugs;All Hazards,Miami,UNITED STATES,FL,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Banking,FALSE,4/8/2021,00531000007MUoEAAW,1/9/2019,Potential Customer,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001em9wIAAQ,Scelerisque Lorem Corporation,Other,Other,All Hazards,Mobile,UNITED STATES,AL,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Banking,FALSE,4/8/2021,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001emA26AAE,Scelerisque Lorem Corporation,Other,Other,All Hazards,Sayreville,UNITED STATES,NJ,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Banking,FALSE,4/23/2021,0055A00000BclF5QAJ,4/16/2021,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001emA3nAAE,Scelerisque Lorem Corporation,Other,Other,All Hazards,Sparks,UNITED STATES,NV,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Banking,FALSE,5/24/2021,00531000007MUoEAAW,2/6/2019,Other,FALSE,0055A000009sa63QAA,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001emA5PAAU,Nunc Commodo Limited,Other,Other,All Hazards,Concord,UNITED STATES,CA,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Biotechnology,FALSE,4/23/2021,00531000007MUoEAAW,2/6/2019,Other,FALSE,0055A000009sa63QAA,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001emA6hAAE,In Molestie Tortor Institute,Other,Other,All Hazards,Danville,UNITED STATES,VA,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Energy,FALSE,4/23/2021,00531000007MUoEAAW,3/5/2021,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001emADJAA2,In Molestie Tortor Institute,Cold,Other,All Hazards,Gainesville,UNITED STATES,FL,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Energy,FALSE,6/14/2021,00531000007KAsvAAG,10/31/2019,Potential Customer,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001emAEWAA2,Sem Semper Consulting,Other,Other,All Hazards,Buffalo,UNITED STATES,NY,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Energy,FALSE,4/8/2021,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001emAHaAAM,Sem Semper Consulting,Cold,Customer,All Hazards,Brighton,UNITED STATES,MA,FALSE,00531000007KAsvAAG,2/8/2016,FALSE,FALSE,Energy,FALSE,6/8/2021,00531000007MUoEAAW,3/29/2021,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Brighton,UNITED STATES,MA,6/29/2021,FALSE,0
0013100001emXyOAAU,Sem Semper Consulting,Cold,Customer,Drugs;All Hazards,Los Angeles,UNITED STATES,CA,FALSE,00531000007KAsvAAG,2/11/2016,FALSE,FALSE,Energy,FALSE,6/8/2021,00531000007MUoEAAW,4/29/2021,Potential Customer,FALSE,0055A000009sa63QAA,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001emY1NAAU,Sem Semper Consulting,Warm,Customer,All Hazards,San Diego,UNITED STATES,CA,FALSE,00531000007KAsvAAG,2/11/2016,FALSE,FALSE,Energy,FALSE,6/8/2021,00531000007MUoEAAW,11/25/2020,Other,FALSE,0055A000009sa63QAA,Other,Other,0125A000001NaCTQA0,San Diego,UNITED STATES,CA,6/29/2021,FALSE,0
0013100001emY9lAAE,Sem Semper Consulting,Other,Other,All Hazards,Medford,UNITED STATES,OR,FALSE,00531000007KAsvAAG,2/11/2016,FALSE,FALSE,Energy,FALSE,4/8/2021,00531000007MUoEAAW,2/6/2019,Other,FALSE,0055A000009sa63QAA,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001enLr2AAE,Quis Incorporated,Other,Other,CWAs,Singapore,SINGAPORE,Other,FALSE,005i0000000fpvQAAQ,2/18/2016,FALSE,FALSE,Hospitality,FALSE,7/6/2017,0055A00000BclF5QAJ,4/11/2021,Other,FALSE,00531000008F2qlAAC,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001enW6YAAU,Quis Incorporated,Warm,Customer,Peptide Mapping;Intact Proteins & Antibodies,Cambridge,UNITED STATES,MA,FALSE,00531000007KAu8AAG,2/19/2016,FALSE,FALSE,Hospitality,FALSE,6/25/2021,0055A00000BclF5QAJ,4/11/2021,Other,FALSE,0055A000008zqzaQAA,Other,Other,0125A000001NaCOQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001enlrdAAA,Quis Incorporated,Hot,Customer,Amino Acids & Metobolites;Cell Lysates;Peptide Mapping;Intact Proteins & Antibodies,Cambridge,UNITED STATES,MA,FALSE,00531000007KAu8AAG,2/22/2016,FALSE,FALSE,Hospitality,FALSE,4/28/2020,0055A00000BclF5QAJ,3/16/2021,Potential Customer,FALSE,0055A000008zqzaQAA,Other,Other,0125A000001NaCOQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001ennfGAAQ,Quis Incorporated,Hot,Customer,Peptide Mapping;Intact Proteins & Antibodies,Cambridge,UNITED STATES,MA,FALSE,00531000007KAu8AAG,2/22/2016,FALSE,FALSE,Hospitality,FALSE,4/13/2018,0055A000009s6n0QAA,4/9/2020,Other,FALSE,0055A00000Bb2djQAB,Other,Other,0125A000001NaCOQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001enucRAAQ,Quis Incorporated,Cold,Customer,All Hazards,Gaithersburg,UNITED STATES,MD,FALSE,00531000007KAsvAAG,2/23/2016,FALSE,FALSE,Hospitality,FALSE,6/8/2021,00531000007MUoEAAW,5/27/2021,Other,FALSE,00531000007KAsvAAG,Other,0013100001gYI3JAAW,0125A000001NaCTQA0,Gaithersburg,UNITED STATES,MD,6/29/2021,FALSE,0
0013100001enulxAAA,Quis Incorporated,Warm,Customer,All Hazards,Columbia,UNITED STATES,MD,FALSE,00531000007KAsvAAG,2/23/2016,FALSE,FALSE,Hospitality,FALSE,6/29/2021,0055A00000BclF5QAJ,4/16/2021,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Columbia,UNITED STATES,MD,6/29/2021,FALSE,0
0013100001env6bAAA,Quis Incorporated,Other,Other,All Hazards,Norwalk,UNITED STATES,CT,FALSE,00531000007KAsvAAG,2/23/2016,FALSE,FALSE,Hospitality,FALSE,4/30/2021,00531000007MUoEAAW,4/30/2021,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001env8hAAA,Quis Incorporated,Other,Other,All Hazards,Pueblo,UNITED STATES,CO,FALSE,00531000007KAsvAAG,2/23/2016,FALSE,FALSE,Hospitality,FALSE,4/8/2021,0055A000009sa63QAA,6/17/2019,Other,FALSE,0055A000009sa63QAA,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001envATAAY,Quis Incorporated,Other,Other,All Hazards,Fort Worth,UNITED STATES,TX,FALSE,00531000007KAsvAAG,2/23/2016,FALSE,FALSE,Hospitality,FALSE,6/14/2021,00531000007MUoEAAW,2/14/2020,Other,FALSE,0055A000009sa63QAA,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001envD8AAI,Quis Incorporated,Cold,Customer,All Hazards,Fort Worth,UNITED STATES,TX,FALSE,00531000007KAsvAAG,2/23/2016,FALSE,FALSE,Hospitality,FALSE,6/8/2021,00531000007MUoEAAW,11/25/2020,Other,FALSE,0055A000009sa63QAA,Other,Other,0125A000001NaCTQA0,Fort Worth,UNITED STATES,TX,6/29/2021,FALSE,0
0013100001envFYAAY,Mattis Ornare Lectus Institute,Cold,Other,All Hazards,Portland,UNITED STATES,OR,FALSE,005i0000002Zi8JAAS,3/20/2015,FALSE,FALSE,Telecommunications,FALSE,4/8/2021,00531000007MUoEAAW,2/6/2019,Potential Customer,FALSE,0055A000009sa63QAA,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001envhIAAQ,Eu Company,Other,Customer,All Hazards,Fairfax,UNITED STATES,VA,FALSE,00531000007KAsvAAG,2/23/2016,FALSE,FALSE,Education,FALSE,6/9/2021,00531000007MUoEAAW,11/25/2020,Other,FALSE,00531000007KAsvAAG,Other,0013100001gYI3JAAW,0125A000001NaCTQA0,Fairfax,UNITED STATES,VA,6/29/2021,FALSE,0
0013100001envvBAAQ,Eu Company,Other,Other,Drugs;All Hazards,Ivyland,UNITED STATES,PA,FALSE,00531000007KAsvAAG,2/23/2016,FALSE,FALSE,Education,FALSE,4/8/2021,00531000007MUoEAAW,1/9/2019,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001enw4SAAQ,Mattis Ornare Lectus Institute,Warm,Other,All Hazards,Sioux Falls,UNITED STATES,SD,FALSE,00531000007KAsvAAG,2/23/2016,FALSE,FALSE,Telecommunications,FALSE,4/8/2021,00531000007MUoEAAW,2/6/2019,Other,FALSE,0055A000009sa63QAA,Other,Other,0125A000001NaCTQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001enw77AAA,Mattis Ornare Lectus Institute,Other,Customer,All Hazards,Conshohocken,UNITED STATES,PA,FALSE,00531000007KAsvAAG,2/23/2016,FALSE,FALSE,Telecommunications,FALSE,6/28/2021,00531000007MUoEAAW,3/31/2021,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Conshohocken,UNITED STATES,PA,6/29/2021,FALSE,0
0013100001enwXDAAY,Mattis Ornare Lectus Institute,Hot,Other,Other,The Woodlands,USA,TX,FALSE,00531000006uPsjAAE,2/23/2016,FALSE,FALSE,Telecommunications,FALSE,7/24/2018,005i0000000fpvQAAQ,5/4/2018,Potential Customer,FALSE,00531000007MUoEAAW,Other,Other,0125A000001NaCJQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001enwqoAAA,Mattis Ornare Lectus Institute,Cold,Customer,All Hazards,Philadelphia,UNITED STATES,PA,FALSE,00531000007KAsvAAG,2/23/2016,FALSE,FALSE,Telecommunications,FALSE,6/8/2021,00531000007MUoEAAW,11/25/2020,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Philadelphia,UNITED STATES,PA,6/29/2021,FALSE,0
0013100001enyrYAAQ,Mattis Ornare Lectus Institute,Other,Other,Other,Porton Down,UNITED KINGDOM,Other,FALSE,00531000007M2hjAAC,2/23/2016,FALSE,FALSE,Telecommunications,FALSE,12/11/2018,0055A00000BclF5QAJ,4/11/2021,Other,FALSE,00531000007KAu8AAG,Other,Other,0125A000001NaCOQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001eo2nrAAA,Mattis Ornare Lectus Institute,Other,Other,Laboratory,Pasadena,USA,TX,FALSE,00531000007MUoEAAW,2/24/2016,FALSE,FALSE,Telecommunications,FALSE,,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,00531000007MUoEAAW,Other,Other,0125A000001NaCJQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001eo2nwAAA,Nonummy Ac Feugiat Company,Other,Prospect,Laboratory,Pasadena,USA,TX,FALSE,00531000007MUoEAAW,2/24/2016,FALSE,FALSE,Telecommunications,FALSE,2/24/2016,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,00531000007MUoEAAW,Other,0013100001eo2nrAAA,0125A000001NaCJQA0,Pasadena,USA,TX,6/29/2021,FALSE,500
0013100001eo3U7AAI,Nonummy Ac Feugiat Company,Other,Customer,All Hazards,Charleston,UNITED STATES,SC,FALSE,00531000007KAsvAAG,2/24/2016,FALSE,FALSE,Telecommunications,FALSE,6/8/2021,00531000007KAsvAAG,12/23/2020,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Charleston,UNITED STATES,SC,6/29/2021,FALSE,0
0013100001eo6iZAAQ,Nonummy Ac Feugiat Company,Warm,Customer,Other,Bothell,UNITED STATES,WA,FALSE,00531000007M2hjAAC,2/24/2016,FALSE,FALSE,Telecommunications,FALSE,6/7/2021,0055A00000BNXCfQAP,3/18/2021,Potential Customer,FALSE,0055A00000Bd0KeQAJ,Other,Other,0125A000001NaCOQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001eo7KyAAI,Nonummy Ac Feugiat Company,Cold,Customer,All Hazards,Quincy,UNITED STATES,MA,FALSE,00531000007KAsvAAG,2/24/2016,FALSE,FALSE,Telecommunications,FALSE,6/8/2021,0055A00000BclF5QAJ,4/16/2021,Potential Customer,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Quincy,UNITED STATES,MA,6/29/2021,FALSE,0
0013100001eoCkhAAE,Nonummy Ac Feugiat Company,Other,Other,Laboratory,Mapleton,USA,IL,FALSE,00531000007MUoEAAW,2/25/2016,FALSE,FALSE,Telecommunications,FALSE,,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,00531000007MUoEAAW,Other,Other,0125A000001NaCJQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001eoCmnAAE,Nonummy Ac Feugiat Company,Other,Prospect,Laboratory,Mapleton,USA,IL,FALSE,00531000007MUoEAAW,2/25/2016,FALSE,FALSE,Telecommunications,FALSE,2/25/2016,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,00531000007MUoEAAW,Other,0013100001eoCkhAAE,0125A000001NaCJQA0,Mapleton,USA,IL,6/29/2021,FALSE,500
0013100001eoCq6AAE,Luctus Incorporated,Other,Customer,All Hazards,Anniston,UNITED STATES,AL,FALSE,00531000007KAsvAAG,2/25/2016,FALSE,FALSE,Transportation,FALSE,6/8/2021,00531000007MUoEAAW,11/25/2020,Other,FALSE,00531000007KAsvAAG,Other,Other,0125A000001NaCTQA0,Anniston,UNITED STATES,AL,6/29/2021,FALSE,0
0013100001eoD3PAAU,Luctus Incorporated,Other,Other,Laboratory,Clint,USA,TX,FALSE,00531000007MUoEAAW,2/25/2016,FALSE,FALSE,Transportation,FALSE,,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,00531000007MUoEAAW,Other,Other,0125A000001NaCJQA0,Other,Other,Other,6/29/2021,FALSE,0
0013100001eoD4NAAU,Luctus Incorporated,Other,Prospect,Laboratory,Clint,USA,TX,FALSE,00531000007MUoEAAW,2/25/2016,FALSE,FALSE,Transportation,FALSE,2/25/2016,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,00531000007MUoEAAW,Other,0013100001eoD3PAAU,0125A000001NaCJQA0,Clint,USA,TX,6/29/2021,FALSE,50
0013100001eoD8oAAE,Luctus Incorporated,Other,Prospect,Laboratory,Janesville,USA,WI,FALSE,00531000007MUoEAAW,2/25/2016,FALSE,FALSE,Transportation,FALSE,2/25/2016,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,00531000007MUoEAAW,Other,0013100001eoCkhAAE,0125A000001NaCJQA0,Janesville,USA,WI,6/29/2021,FALSE,250
0013100001eoDBsAAM,Luctus Incorporated,Other,Other,Laboratory,Farmington,USA,NM,FALSE,00531000007MUoEAAW,2/25/2016,FALSE,FALSE,Transportation,FALSE,,005i0000000fpvQAAQ,5/4/2018,Other,FALSE,00531000007MUoEAAW,Other,Other,0125A000001NaCJQA0,Other,Other,Other,6/29/2021,FALSE,0
